"SYMBOL","ISSUE PRICE","OPEN","HIGH","LOW","PREV. CLOSE","LTP","CHNG","%CHNG","VOLUME","VALUE (₹ Crores)","52W H","52W L","30D %CHNG","365 D","365 D % CHNG","30 D"
"SGBOCT27","-","7,496.99","7,496.99","7,301.55","7,395.00","7,400.00","5.00","0.07","100","0.07","7,496.99","5,735.00",1.3,"03-Jul-2023","27.32","31-May-2024"
"SGBOCT27VI","-","7,380.00","7,494.84","7,380.00","7,375.00","7,380.00","5.00","0.07","50","0.04","7,494.84","5,735.11",-1.33,"03-Jul-2023","26.72","31-May-2024"
"SGBFEB32IV","-","7,800.00","7,990.00","7,611.00","7,802.14","7,806.00","3.86","0.05","1,835","1.43","7,990.00","6,161.00",5.74,"-","-","31-May-2024"
"SGBDEC25XI","2,902.00","-","-","-","7,531.99","7,533.00","1.01","0.01","-","-","7,533.00","5,800.00",0.77,"30-Jun-2023","25.95","28-May-2024"
"SGBMAR30X","-","7,550.00","7,550.00","7,549.90","7,550.00","7,549.90","-0.10","-","2","-","7,733.25","5,725.00",2.23,"03-Jul-2023","28.13","31-May-2024"
"SGBDEC2513","2,816.00","7,400.00","7,400.00","7,400.00","7,400.00","7,400.00","-","-","2","-","7,469.89","5,800.00",0.01,"03-Jul-2023","24.16","30-May-2024"
"SGBOCT25V","2,921.00","7,400.00","7,400.00","7,400.00","7,400.00","7,400.00","-","-","8","0.01","7,443.00","5,741.00",0,"30-Jun-2023","26.60","31-May-2024"
"SGBNOV25VI","2,895.00","-","-","-","7,299.00","7,299.00","-","-","-","-","7,600.00","5,501.00",-0.01,"03-Jul-2023","24.77","30-May-2024"
"SGBJAN26","2,831.00","-","-","-","7,475.00","7,475.00","-","-","-","-","7,488.00","5,701.00",1.63,"03-Jul-2023","28.33","31-May-2024"
"SGBOCT25","2,906.00","7,400.00","7,400.00","7,400.00","7,400.00","7,400.00","-","-","2","-","7,542.00","5,801.00",1.36,"30-Jun-2023","23.35","31-May-2024"
"SGBDEC2512","2,840.00","-","-","-","7,327.00","7,327.00","-","-","-","-","7,488.00","5,778.00","-","27-Jun-2023","26.07","-"
"SGBDEC25","2,911.00","-","-","-","7,290.00","7,290.00","-","-","-","-","7,740.00","5,805.00",-0.16,"03-Jul-2023","20.75","30-May-2024"
"SGBJAN27","3,164.00","-","-","-","7,351.00","7,351.00","-","-","-","-","7,488.00","5,651.00",0.01,"03-Jul-2023","24.59","30-May-2024"
"SGBNOV258","2,911.00","-","-","-","7,400.00","7,400.00","-","-","-","-","7,499.00","5,800.00",0.14,"03-Jul-2023","27.54","31-May-2024"
"SGBDC27VII","-","7,530.00","7,530.00","7,401.00","7,475.00","7,475.00","-","-","95","0.07","7,539.00","5,707.00",2.4,"03-Jul-2023","27.78","31-May-2024"
"SGBFEB28IX","-","7,400.00","7,489.99","7,360.01","7,489.99","7,489.99","-","-","27","0.02","7,670.00","5,780.00",1.9,"03-Jul-2023","25.88","31-May-2024"
"SGBNOV25IX","2,914.00","-","-","-","7,287.00","7,287.00","-","-","-","-","7,400.00","5,701.00",-0.4,"30-Jun-2023","25.29","28-May-2024"
"SGBAUG24","3,119.00","7,312.00","7,395.00","7,312.00","7,379.67","7,371.00","-8.67","-0.12","275","0.20","7,745.00","5,811.00",1.02,"03-Jul-2023","24.87","31-May-2024"
"SGBD29VIII","-","7,559.66","7,575.00","7,500.00","7,559.66","7,550.00","-9.66","-0.13","26","0.02","7,600.00","5,700.00",2.49,"03-Jul-2023","29.30","31-May-2024"
"SGBJUN27","-","7,420.00","7,420.00","7,405.00","7,415.00","7,405.00","-10.00","-0.13","11","0.01","7,500.00","5,753.01",0.2,"03-Jul-2023","26.75","31-May-2024"
"SGBMAY26","3,064.00","7,400.00","7,450.00","7,400.00","7,465.00","7,450.00","-15.00","-0.20","10","0.01","7,500.00","5,760.00",0.88,"03-Jul-2023","27.80","30-May-2024"
"SGBJUN30","-","7,532.65","7,600.00","7,530.00","7,600.00","7,580.00","-20.00","-0.26","65","0.05","7,731.00","5,751.00",2.88,"03-Jul-2023","30.59","31-May-2024"
"SGBMAY25","2,901.00","7,415.00","7,415.00","7,301.00","7,400.00","7,375.00","-25.00","-0.34","124","0.09","7,524.90","5,701.00",1.37,"03-Jul-2023","27.29","31-May-2024"
"SGBNV29VII","-","7,445.00","7,473.00","7,411.00","7,500.00","7,473.00","-27.00","-0.36","146","0.11","7,599.99","5,755.02",2.71,"03-Jul-2023","28.95","31-May-2024"
"SGBN28VIII","-","7,455.00","7,499.99","7,362.00","7,520.90","7,480.00","-40.90","-0.54","934","0.69","7,800.00","5,765.10",2.19,"03-Jul-2023","27.69","31-May-2024"
"SGBMAR25","2,893.00","7,450.00","7,497.00","7,310.02","7,425.90","7,381.01","-44.89","-0.60","110","0.08","7,500.00","5,751.00",1.7,"03-Jul-2023","27.26","31-May-2024"
"SGBAUG27","-","7,680.00","7,725.00","7,660.00","7,740.00","7,660.00","-80.00","-1.03","17","0.01","7,999.99","5,762.00",5.14,"03-Jul-2023","31.63","31-May-2024"
"SGBJU29III","-","7,599.00","7,599.00","7,431.00","7,670.00","7,545.00","-125.00","-1.63","73","0.06","8,000.00","5,702.00",4.19,"03-Jul-2023","30.58","31-May-2024"
